wave,distance,routes,order_per_wave,robot
113,254,"[(0, 0), [20.75, 13.5], [19.5, 21.0], [22.75, 13.5], [24, 9.0], [24, 16.5], [47.5, 16.5], [45.5, 21.0], [37.75, 21.0], [32.5, 12.0], [26, 10.5], (0, 0)]",9,R3
114,156,"[(0, 0), [20.75, 9.0], [19.5, 21.0], [24, 13.5], [26, 22.5], [34.5, 12.0], (0, 0)]",9,R3
115,74,"[(0, 0), [24, 13.5], (0, 0)]",9,R3
116,211,"[(0, 0), [26, 6.0], [28.0, 6.0], [39.0, 9.0], [41.0, 15.0], [22.75, 13.5], [22.75, 15.0], [20.75, 21.0], [19.5, 21.0], [15.25, 21.0], (0, 0)]",9,R3
117,210,"[(0, 0), [22.75, 6.0], [22.75, 13.5], [15.25, 21.0], [20.75, 15.0], [20.75, 18.0], [24, 19.5], [24, 18.0], [32.5, 19.5], [37.75, 9.0], [29.25, 10.5], (0, 0)]",9,R3
118,233,"[(0, 0), [22.75, 6.0], [24, 6.0], [24, 18.0], [15.25, 21.0], [20.75, 18.0], [20.75, 15.0], [22.75, 21.0], [26, 22.5], [37.75, 16.5], [41.0, 10.5], [39.0, 9.0], (0, 0)]",9,R3
119,155,"[(0, 0), [20.75, 18.0], [19.5, 21.0], [24, 21.0], [44.25, 9.0], (0, 0)]",9,R3
120,210,"[(0, 0), [20.75, 9.0], [42.25, 6.0], [37.75, 21.0], [35.75, 21.0], [32.5, 19.5], [28.0, 15.0], [19.5, 21.0], [22.75, 15.0], [22.75, 12.0], (0, 0)]",9,R3
121,277,"[(0, 0), [22.75, 6.0], [22.75, 10.5], [22.75, 12.0], [22.75, 13.5], [22.75, 21.0], [19.5, 21.0], [15.25, 21.0], [26, 22.5], [37.75, 13.5], [39.0, 18.0], [45.5, 22.5], [47.5, 22.5], [48.75, 12.0], [31.25, 6.0], [26, 6.0], [24, 6.0], [20.75, 9.0], (0, 0)]",9,R3
122,249,"[(0, 0), [22.75, 6.0], [22.75, 13.5], [22.75, 21.0], [15.25, 21.0], [35.75, 12.0], [39.0, 9.0], [41.0, 15.0], [32.5, 21.0], [29.25, 13.5], [24, 16.5], [24, 13.5], [24, 10.5], (0, 0)]",9,R3
123,232,"[(0, 0), [15.25, 12.0], [19.5, 21.0], [20.75, 15.0], [24, 21.0], [44.25, 22.5], [45.5, 19.5], [35.75, 12.0], [26, 10.5], [22.75, 10.5], (0, 0)]",9,R3
124,241,"[(0, 0), [20.75, 9.0], [19.5, 21.0], [24, 13.5], [31.25, 16.5], [31.25, 22.5], [37.75, 21.0], [44.25, 21.0], [52.0, 12.0], [34.5, 12.0], (0, 0)]",9,R3
125,104,"[(0, 0), [37.75, 15.0], (0, 0)]",9,R3
126,74,"[(0, 0), [22.75, 15.0], (0, 0)]",9,R3
127,48,"[(0, 0), [15.25, 9.0], (0, 0)]",9,R3
128,208,"[(0, 0), [20.75, 9.0], [44.25, 9.0], [45.5, 19.5], [37.75, 21.0], [26, 15.0], [19.5, 21.0], [22.75, 21.0], [22.75, 15.0], [22.75, 6.0], (0, 0)]",9,R3
129,207,"[(0, 0), [20.75, 6.0], [22.75, 13.5], [19.5, 21.0], [35.75, 22.5], [39.0, 16.5], [41.0, 15.0], [47.5, 9.0], (0, 0)]",9,R3
130,273,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [24, 9.0], [24, 18.0], [34.5, 15.0], [35.75, 16.5], [47.5, 22.5], [50.75, 9.0], [47.5, 6.0], [41.0, 15.0], [39.0, 9.0], (0, 0)]",9,R3
131,191,"[(0, 0), [20.75, 6.0], [20.75, 12.0], [26, 19.5], [26, 22.5], [22.75, 13.5], [24, 6.0], [31.25, 6.0], [41.0, 10.5], (0, 0)]",9,R3
